R&D Spend,Administration,Marketing Spend,State,Revenue,Customers,CAC,LTV,Expenses,Burn_Rate,Run_Rate,LTV_CAC_Ratio,Month,Cohort
77044.01,99281.34,140574.81,New York,108552.04,141,996.9844680851064,769.8726241134751,316900.16,208348.12,1302624.48,0.7722012215417541,2025-01-31,2025-01
64664.71,139553.16,137962.62,California,107404.34,138,999.7291304347825,778.2923188405797,342180.49,234776.15,1288852.08,0.7785031916616255,2025-02-28,2025-02
75328.87,144135.98,134050.07,Florida,105733.54,135,992.9634814814815,783.2114074074074,353514.92000000004,247781.38000000006,1268802.48,0.7887615426086685,2025-03-31,2025-03
72107.6,127864.55,353183.81,New York,105008.31,354,997.6943785310734,296.6336440677966,553155.96,448147.64999999997,1260099.72,0.2973191494819652,2025-04-30,2025-04
66051.52,182645.56,118148.2,Florida,103282.38,119,992.8420168067227,867.9191596638656,366845.28,263562.9,1239388.56,0.8741765003614106,2025-05-31,2025-05
65605.48,153032.06,107138.38,New York,101004.64,108,992.0220370370371,935.2281481481482,325775.92,224771.27999999997,1212055.68,0.9427493676869111,2025-06-30,2025-06
61994.48,115641.28,91131.24,Florida,99937.59,92,990.5569565217392,1086.278152173913,268767.0,168829.41,1199251.08,1.096633711996018,2025-07-31,2025-07
61136.38,152701.92,88218.23,New York,97483.56,89,991.2160674157303,1095.3208988764045,302056.53,204572.97000000003,1169802.72,1.1050273849293961,2025-08-31,2025-08
63408.86,129219.61,46085.25,California,97427.84,47,980.5372340425532,2072.932765957447,238713.72,141285.88,1169134.08,2.1140785826267625,2025-09-30,2025-09
55493.95,103057.49,214634.81,Florida,96778.92,215,998.3014418604652,450.134511627907,373186.25,276407.33,1161347.04,0.4509003921591283,2025-10-31,2025-10
46426.07,157693.92,210797.67,California,96712.8,211,999.0410900473935,458.35450236966824,414917.66000000003,318204.86000000004,1160553.6,0.45879444492911137,2025-11-30,2025-11
46014.02,85047.44,205517.64,New York,96479.51,206,997.6584466019418,468.3471359223301,336579.1,240099.58999999997,1157754.1199999999,0.4694463696644239,2025-12-31,2025-12
28663.76,127056.21,201126.82,Florida,90708.19,202,995.6773267326734,449.05044554455446,356846.79000000004,266138.60000000003,1088498.28,0.45099997106303374,2026-01-31,2026-01
44069.95,51283.14,197029.42,California,89949.14,198,995.0980808080809,454.28858585858586,292382.51,202433.37,1079389.68,0.456526441584206,2026-02-28,2026-02
20229.59,65947.93,185265.1,New York,81229.06,186,996.0489247311829,436.715376344086,271442.62,190213.56,974748.72,0.4384477162725197,2026-03-31,2026-03
38558.51,82982.09,174999.3,California,81005.76,175,999.996,462.89005714285713,296539.9,215534.14,972069.1199999999,0.46289190871049196,2026-04-30,2026-04
28754.33,118546.05,172795.67,California,78239.91,173,998.8189017341041,452.2538150289017,320096.05000000005,241856.14000000004,938878.92,0.4527886028625601,2026-05-31,2026-05
27892.92,84710.77,164470.71,Florida,77798.83,165,996.7921818181818,471.5080606060606,277074.4,199275.57,933585.96,0.47302544021364046,2026-06-30,2026-06
23640.93,96189.63,148001.11,California,71498.49,149,993.2960402684563,479.85563758389264,267831.67,196333.18,857981.8800000001,0.483094282198289,2026-07-31,2026-07
15505.73,127382.3,35534.17,New York,69758.98,36,987.0602777777777,1937.7494444444444,178422.2,108663.22000000002,837107.76,1.9631520871319073,2026-08-31,2026-08
22177.74,154806.14,28334.72,California,65200.33,29,977.0593103448276,2248.28724137931,205318.6,140118.27000000002,782403.96,2.301075500304926,2026-09-30,2026-09
1000.23,124153.04,1903.93,New York,64926.08,2,951.965,32463.04,127057.19999999998,62131.11999999998,779112.96,34.10108564915727,2026-10-31,2026-10
1315.46,115816.21,297114.46,Florida,49490.75,298,997.028389261745,166.0763422818792,414246.13,364755.38,593889.0,0.1665713274271471,2026-11-30,2026-11
0.0,135426.92,0.0,California,42559.73,1,0.0,42559.73,135426.92,92867.19,510716.76,inf,2026-12-31,2026-12
542.05,51743.15,0.0,New York,35673.41,1,0.0,35673.41,52285.200000000004,16611.79,428080.92000000004,inf,2027-01-31,2027-01
0.0,116983.8,45173.06,California,14681.4,46,982.0230434782608,319.1608695652174,162156.86,147475.46,176176.8,0.3250034423171687,2027-02-28,2027-02
